Name,Image_url,Score
ギヴン,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7Bt91yqsdZ0KouX7CwFWpyxuMXRzdOirgBu-DW9jZdheCt8S756tbmdEAiW1qwXouRSEsTSiJFWKx7k974InQymCa89_hegtEM-I6MkgulvdKNPrxOibWuemLeyymYa3SwBw-SQo6YlDkzg7nnPxwFKs4hvviELvfkA9NDByHnvucgZe8vldveQF3fTpm0k3wh0-Dzj0s7ml8yFEGE199K8GTPB-NNLbfC6l2MiNAOiK8jIjSNT1E3iRAZnuJcOOq71jLJbTDkYSmt_8I8Mryu9_nnWYoSbIz4wgTxBa_LT/5d25e39aa38b7_5353dac971ec24f6c865902cb29f44fa.jpg,8.32
LOVE STAGE!!,https://msp.c.yimg.jp/images/v2/tpvPBYOX1wpNVI1UoNSgEvxPSLj0IuRUGBm9jh19MUq0y-rPeTVAw5T4sZ4WWTsg7M8wm2RDU82vmIFN1Pv4RYVsWppXN31FUKYPTlY68-0UMdFe7X7o07KLkKqviYPiGk7Z1olRbzJnj0EY3vHGY1zvA3KtHbK5UzXBavwwm1HwZLQ7kSESdraEL19Pb9vZQCWTSk5eqJBgmRhALpG1ulSyjblW5_aqbeahLpZzQgCDZNRaifXhNCs_BugWVA5o/ogp.jpg,7.32
巨人族の花嫁,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG1YAaYtugrGFiX7rKqH0ItXpFPCixE9sCi9upHKTXX7FgJ9wPDVQRqL6G6dfE6a69s-XFRnbvBCZG74JQ-E0hqIV4Lu2_9TTWIJtGTkzUAzLm4NajZcZJ9kln_j7MWYiYYwQUr2uPRjssvIKp0lzNh5caPRnczZZkhb6Ym94bf9_VgYWEfpGpML-rV4VGTkkjS-v_qv4_yJesJY1YGK-6K3MCYXjsWaDu5J_8HzLsKd1RCTKQYytBudiJBrfLzgMQL21HJ2hGn1JjNwpmMPrcHZ5qd0fZL4EUZrbgY1dYfsu/kyojin-kv.png,5.19
